Fly_Drone1,,,,,,,,,,,,,,,
Time      ,.C.CM_Position.X,.C.CM_Position.Y,.C.CM_Position.Z,.R1.CM_Position.X,.R1.CM_Position.Y,.R1.CM_Position.Z,.R2.CM_Position.X,.R2.CM_Position.Y,.R2.CM_Position.Z,.R3.CM_Position.X,.R3.CM_Position.Y,.R3.CM_Position.Z,.R4.CM_Position.X,.R4.CM_Position.Y,.R4.CM_Position.Z
4.350000e+000,1.937992e+002,-6.586761e+001,5.427513e+002,1.052190e+002,-1.315141e+000,6.096898e+002,3.071284e+002,-1.529654e+000,6.037759e+002,1.050608e+002,1.886114e+002,6.037415e+002,3.081276e+002,1.890060e+002,5.977050e+002
4.400000e+000,2.092009e+002,-6.488489e+001,5.440570e+002,1.204742e+002,8.375565e-001,6.095594e+002,3.223916e+002,5.211517e-001,6.039282e+002,1.203157e+002,1.906102e+002,5.998729e+002,3.233906e+002,1.909004e+002,5.941088e+002
4.450000e+000,2.246684e+002,-6.415496e+001,5.449135e+002,1.356955e+002,2.260941e+000,6.092486e+002,3.376287e+002,1.909371e+000,6.042170e+002,1.355364e+002,1.918896e+002,5.970639e+002,3.386273e+002,1.921430e+002,5.918948e+002
4.500000e+000,2.401378e+002,-6.380747e+001,5.452009e+002,1.508333e+002,2.736203e+000,6.088061e+002,3.527866e+002,2.423023e+000,6.046557e+002,1.506732e+002,1.923064e+002,5.957434e+002,3.537846e+002,1.925979e+002,5.914578e+002
4.550000e+000,2.555491e+002,-6.390251e+001,5.448784e+002,1.658461e+002,2.196739e+000,6.082679e+002,3.678193e+002,1.975834e+000,6.052322e+002,1.656847e+002,1.918253e+002,5.960816e+002,3.688166e+002,1.922101e+002,5.929199e+002
4.600000e+000,2.708455e+002,-6.441589e+001,5.439861e+002,1.806994e+002,7.376328e-001,6.076471e+002,3.826880e+002,6.242180e-001,6.059007e+002,1.805366e+002,1.905101e+002,5.979575e+002,3.836843e+002,1.910045e+002,5.961004e+002
4.650000e+000,2.859732e+002,-6.524839e+001,5.426411e+002,1.953639e+002,-1.404469e+000,6.069437e+002,3.973597e+002,-1.438055e+000,6.065918e+002,1.951995e+002,1.885220e+002,6.009910e+002,3.983550e+002,1.890985e+002,6.005484e+002
4.700000e+000,3.008810e+002,-6.625195e+001,5.410245e+002,2.098133e+002,-3.896670e+000,6.061665e+002,4.118066e+002,-3.908869e+000,6.072372e+002,2.096473e+002,1.861168e+002,6.046291e+002,4.128008e+002,1.867167e+002,6.056315e+002
4.750000e+000,3.155199e+002,-6.726698e+001,5.393585e+002,2.240224e+002,-6.371192e+000,6.053518e+002,4.260038e+002,-6.427841e+000,6.077928e+002,2.238549e+002,1.836262e+002,6.082620e+002,4.269969e+002,1.841830e+002,6.106569e+002
4.800000e+000,3.298423e+002,-6.815760e+001,5.378719e+002,2.379653e+002,-8.489672e+000,6.045672e+002,4.399279e+002,-8.638762e+000,6.082485e+002,2.377965e+002,1.814093e+002,6.113381e+002,4.409199e+002,1.818742e+002,6.149930e+002
